algoritmo,step_size,iter,time,loss,gap,spars,mse
FW,diminishing,53,0.006368875503540039,59.74254461269353,1.4594104721276153,16,0.19240755108757981
FW,diminishing,54,0.006543874740600586,59.72954928872099,2.9908162294792575,16,0.19236569819233812
FW,diminishing,55,0.0067179203033447266,59.72835767531987,1.1216181680536579,16,0.1923618604680189
FW,diminishing,56,0.006859779357910156,59.726402101728226,1.122673676863414,16,0.19235556232440654
FW,diminishing,57,0.00698399543762207,59.72551318312652,1.6649251967112235,16,0.19235269946256528
FW,diminishing,58,0.0071048736572265625,59.72468412730481,1.3951434847349304,16,0.19235002939550663
FW,diminishing,59,0.007227897644042969,59.7236507518833,2.302619986533685,16,0.19234670129431014
FW,diminishing,60,0.007349729537963867,59.7207315309022,2.1198961329977664,16,0.1923372996164322
FW,diminishing,61,0.0074748992919921875,59.7153585517262,1.9151189592114264,16,0.19231999533567212
FW,diminishing,62,0.007597923278808594,59.71318502309879,1.9327298515497802,16,0.19231299524347437
FW,diminishing,63,0.007719993591308594,59.70920442618583,1.3050005519774714,16,0.19230017528562263
FW,diminishing,64,0.007842779159545898,59.707037097855164,1.680730825474491,16,0.19229319516217444
FW,diminishing,65,0.007966995239257812,59.701180535091574,1.9493427663075948,16,0.19227433344634967
FW,diminishing,66,0.008089780807495117,59.70000961871299,1.4123399331593447,16,0.19227056237910786
FW,diminishing,67,0.008214712142944336,59.69761187565511,1.4581882715998802,16,0.19226284017924353
FW,diminishing,68,0.00835108757019043,59.69528422068467,1.5976755574621677,16,0.19225534370590877
FW,diminishing,69,0.008488893508911133,59.69364555608057,1.3949093274458733,16,0.19225006620315804
FW,diminishing,70,0.008611917495727539,59.69210851588248,1.1792321670450008,16,0.19224511599318028
FW,diminishing,71,0.008748769760131836,59.691451575447935,1.0742786113138578,16,0.19224300024298852
FW,diminishing,72,0.008872032165527344,59.686910609815214,1.3643539322642937,16,0.19222837555496045
FW,diminishing,73,0.00900888442993164,59.68557174407974,1.0681892652669518,16,0.19222406358801847
FW,diminishing,74,0.009145736694335938,59.6849554215995,0.6966391769732496,16,0.19222207865249435
FW,diminishing,75,0.009282827377319336,59.68319212737465,1.2481209160585678,16,0.19221639976610194
FW,diminishing,76,0.009422779083251953,59.68257321620159,1.0402734399610338,16,0.19221440649340288
FW,diminishing,77,0.009559869766235352,59.68125767115841,0.9063227830172096,16,0.19221016963336043
FW,diminishing,78,0.009695053100585938,59.68027789984902,0.8864223766169275,16,0.19220701417020616
FW,diminishing,79,0.009817838668823242,59.67878076123112,0.8720297912270212,16,0.19220219246773307
FW,diminishing,80,0.009936809539794922,59.678705609370084,1.131827307975385,16,0.1922019504327539
FW,diminishing,81,0.01005864143371582,59.67766173436098,1.1084575646978365,16,0.1921985885164605
FW,diminishing,82,0.010184049606323242,59.676357469125136,1.5132865484268123,16,0.19219438798429997
FW,diminishing,83,0.010323047637939453,59.67518376779721,1.176886309036334,16,0.1921906079478171
FW,diminishing,84,0.010446786880493164,59.6745622360438,1.0088970506377208,16,0.19218860623524572
FW,diminishing,85,0.010570049285888672,59.671926345252295,1.4383784366520587,16,0.19218011705395263
FW,diminishing,86,0.010693788528442383,59.67079594963757,0.9816856463563823,16,0.19217647648836578
FW,diminishing,87,0.010830879211425781,59.66973457527964,0.8131062780547609,16,0.192173058213461
FW,diminishing,88,0.010967731475830078,59.66838601637495,1.220235215040205,16,0.1921687150285828
FW,diminishing,89,0.011105775833129883,59.66738258930968,0.9563862640567748,16,0.19216548337941927
