run,algorithm,step_size,iter,time,loss,gap,spars,mse
0.0,FW_diminishing,diminishing,0.0,0.00020885467529296875,57.03940277834595,152.33559722165398,1.0,0.34053374793042357
0.0,FW_diminishing,diminishing,1.0,0.0002319812774658203,57.03940277834595,0.0,1.0,0.34053374793042357
0.0,FW_exact,exact,0.0,3.170967102050781e-05,57.03940277834595,152.33559722165398,1.0,0.34053374793042357
0.0,FW_exact,exact,1.0,4.57763671875e-05,57.03940277834595,0.0,1.0,0.34053374793042357
0.0,AFW_diminishing,diminishing,0.0,3.0994415283203125e-05,57.03940277834595,0.0,1.0,0.34053374793042357
0.0,AFW_exact,exact,0.0,1.621246337890625e-05,57.03940277834595,0.0,1.0,0.34053374793042357
0.0,PFW_diminishing,diminishing,0.0,1.5974044799804688e-05,57.03940277834595,0.0,1.0,0.34053374793042357
0.0,PFW_exact,exact,0.0,1.5020370483398438e-05,57.03940277834595,0.0,1.0,0.34053374793042357
