Date,return_assets,return_capital,return_equity,return_invested_capital,return_common_equity,gross_margin,sga_margin,ebitda_margin,ebita_margin,ebit_margin,earning_co_margin,ni_margin,ni_norm_margin,ni_avail_excl_margin,lfcf_margin,ufcf_margin,cf_total_rev,asset_turns,fixed_asset_turns,ar_turns,inventory_turns,current_ratio,quick_ratio,days_sales_out,days_inventory_out,days_payable_out,cash_conversion,cfo_current_liab,total_debt_equity,total_debt_capital,lt_debt_equity,lt_debt_capital,total_liab_total_assets,ebit_int,ebitda_int,ebitda_capex_int,total_debt_ebitda,net_debt_ebitda,total_debt_ebitda_capex,net_debt_ebitda_capex,ebitda_excl_oper_leases_int,ebitda_excl_oper_leases_capex_int,total_debt_ebitda_excl_oper_leases,net_debt_ebitda_excl_oper_leases,total_debt_ebitda_excl_oper_leases_capex,net_debt_ebitda_excl_oper_leases_capex,total_rev_employee,z_score,capex_pct_rev,Ticker
2002-09-30,6.7608,9.5632,22.2283,5.9373,21.9649,43.0471,34.2492,9.4221,8.0038,7.311,3.7207,3.488,3.507,3.488,6.2307,7.0869,,1.47959,18.02348,4.38859,3.11097,2.44139,1.28213,83.17,117.3267,,,0.38323,170.8994,63.0859,167.813,61.9466,74.4652,5.33708,6.8782,5.34316,3.21013,3.05278,4.13237,3.92981,6.8782,5.34316,3.21013,3.05278,4.13237,3.92981,,,2.1027,ADS.DE
2002-12-31,7.0648,10.7019,21.9268,6.7042,21.8105,43.2158,34.4203,9.761,8.4734,7.3156,3.7135,3.5038,3.5279,3.5038,8.009,8.7905,,1.54516,20.28534,5.12473,3.00794,2.04689,1.04564,71.22318,121.34535,65.42516,127.14337,0.38683,139.4586,58.2391,139.2316,58.1443,73.3179,5.8507,7.80646,6.40722,2.48991,2.36358,3.03366,2.87974,7.80646,6.40722,2.48991,2.36358,3.03366,2.87974,451.104,3.3381,1.7495,ADS.DE
2003-03-31,7.08,10.39,22.147,6.5276,21.7137,43.3928,34.3185,10.0353,8.7232,7.5709,3.8638,3.6093,3.637,3.6093,7.7532,8.5215,,1.49627,18.18147,4.58351,3.17253,2.27683,1.1493,79.63315,115.05019,55.0139,139.66944,0.41996,142.5084,58.7643,142.5084,58.7643,72.633,6.15915,8.164,6.79704,2.5739,2.47052,3.09154,2.96736,8.164,6.79704,2.5739,2.47052,3.09154,2.96736,,3.368,1.6802,ADS.DE
2003-06-30,6.9596,10.5997,24.1052,6.9358,23.763,43.369,34.2583,10.0266,8.7223,7.5496,4.0253,3.7819,3.8043,3.7819,7.1976,7.8145,,1.47496,18.56029,5.19808,2.76833,2.14732,0.95313,70.21797,131.84859,61.03238,141.03418,0.41002,141.6165,58.612,141.6165,58.612,73.1718,7.64897,10.15852,8.55185,2.5505,2.45139,3.02967,2.91194,10.15852,8.55185,2.5505,2.45139,3.02967,2.91194,,3.29198,1.5858,ADS.DE
2003-09-30,7.2776,10.8948,22.8707,7.4476,22.663,43.7105,34.1569,10.4563,10.4251,7.9731,4.3467,4.1026,4.1543,4.1026,8.8285,9.3788,,1.46043,18.0715,4.36145,3.23025,2.16208,1.1368,83.68757,112.99415,47.91976,148.76196,0.48183,114.4495,53.3689,114.4495,53.3689,69.9793,9.05512,11.87521,9.91062,2.22848,2.11833,2.67024,2.53824,11.87521,9.91062,2.22848,2.11833,2.67024,2.53824,,3.37338,1.7298,ADS.DE
2003-12-31,7.2106,11.3239,21.2985,7.9804,21.3433,44.898,35.5545,10.2528,8.9284,7.7768,4.3319,4.1502,4.1849,4.1502,8.323,9.0001,,1.48351,18.34909,5.29344,2.93453,2.06664,1.0528,68.95288,124.38105,67.14394,126.18999,0.48446,88.1504,46.851,87.8718,46.7029,66.2742,7.17928,9.46507,7.84948,1.93768,1.49634,2.33649,1.80432,9.46507,7.84948,1.93768,1.49634,2.33649,1.80432,399.515,3.47715,1.75,ADS.DE
2004-03-31,7.399,11.2821,22.6668,8.0362,22.8702,46.0717,35.8382,11.1674,9.8565,8.674,5.0382,4.6058,4.8668,4.868,9.6894,10.3129,,1.36482,17.71495,4.42874,3.00149,2.22018,1.24206,82.6417,121.93949,57.38953,147.19166,0.50668,95.6721,48.8941,95.6721,48.8941,66.8622,8.69453,11.19386,9.34324,2.14078,1.53332,2.56481,1.83703,11.19386,9.34324,2.14078,1.53332,2.56481,1.83703,,3.28986,1.8462,ADS.DE
2004-06-30,8.2539,13.0008,25.9463,8.6822,25.898,47.051,35.8672,12.0509,10.8237,9.7084,5.6526,4.7953,5.375,5.4662,9.9594,10.6741,,1.36029,17.71536,5.22599,2.49991,2.06186,0.99871,70.03447,146.40512,66.67532,149.76427,0.49096,93.0,48.1865,93.0,48.1865,67.7488,8.49061,10.53928,8.82683,1.89402,1.31292,2.26148,1.56763,10.53928,8.82683,1.89402,1.31292,2.26148,1.56763,,3.31207,1.958,ADS.DE
2004-09-30,8.363,13.011,23.365,9.4485,23.4299,48.0519,36.577,12.372,10.0926,10.0926,5.8239,5.3355,5.6003,5.6513,7.7948,8.5102,,1.3258,17.14473,4.21858,2.8138,1.695,0.93921,86.75884,130.07311,54.80521,162.02674,0.32147,79.078,44.1584,51.6548,28.8448,64.1601,8.81711,10.80842,9.27435,1.79711,1.22628,2.09438,1.42912,10.80842,9.27435,1.79711,1.22628,2.09438,1.42912,,3.34217,1.756,ADS.DE
2004-12-31,8.4711,13.6322,22.3495,10.0342,22.4578,48.0102,36.5345,11.9974,10.8711,9.9707,5.6752,5.3625,5.4886,5.5563,7.0234,7.776,,1.35936,16.73274,5.52462,2.62764,1.78646,0.95859,66.24856,139.28825,71.30741,134.2294,0.34034,72.6788,42.089,60.5821,35.0837,64.733,8.2802,9.96332,8.30861,1.61649,0.96203,1.93842,1.15362,9.96332,8.30861,1.61649,0.96203,1.93842,1.15362,344.24,3.57915,1.9925,ADS.DE
